season,game_id,date,matchup,home_team,home_abbr,home_score,home_win,home_fg_pct,home_fg3_pct,home_ft_pct,home_rebounds,home_assists,home_turnovers,away_team,away_abbr,away_score,away_win,away_fg_pct,away_fg3_pct,away_ft_pct,away_rebounds,away_assists,away_turnovers,total_points,point_differential
2023,0022300061,2023-10-24,LAL @ DEN,Denver Nuggets,DEN,119,True,0.527,0.412,0.75,42,29,11,Los Angeles Lakers,LAL,107,False,0.456,0.345,0.75,44,23,11,226,12
2023,0022300062,2023-10-24,GSW vs. PHX,Golden State Warriors,GSW,104,False,0.356,0.233,0.786,49,19,11,Phoenix Suns,PHX,108,True,0.442,0.333,0.765,60,23,19,212,4
2023,0022300063,2023-10-25,CHA vs. ATL,Charlotte Hornets,CHA,116,True,0.5,0.297,0.731,51,34,19,Atlanta Hawks,ATL,110,False,0.419,0.172,0.818,42,24,12,226,6
2023,0022300073,2023-10-25,DAL @ SAS,San Antonio Spurs,SAS,119,False,0.517,0.314,0.727,45,33,19,Dallas Mavericks,DAL,126,True,0.475,0.319,0.739,48,24,12,245,7
2023,0022300066,2023-10-25,ORL vs. HOU,Orlando Magic,ORL,116,True,0.483,0.265,0.885,57,19,14,Houston Rockets,HOU,86,False,0.405,0.353,0.625,31,19,18,202,30
2023,0022300067,2023-10-25,CLE @ BKN,Brooklyn Nets,BKN,113,False,0.5,0.333,0.769,50,30,17,Cleveland Cavaliers,CLE,114,True,0.468,0.395,0.9,38,25,10,227,1
2023,0022300071,2023-10-25,MEM vs. NOP,Memphis Grizzlies,MEM,104,False,0.418,0.279,0.8,37,23,13,New Orleans Pelicans,NOP,111,True,0.471,0.438,0.773,52,22,21,215,7
2023,0022300064,2023-10-25,IND vs. WAS,Indiana Pacers,IND,143,True,0.523,0.465,0.917,51,38,12,Washington Wizards,WAS,120,False,0.458,0.375,0.793,45,28,14,263,23
2023,0022300072,2023-10-25,UTA vs. SAC,Utah Jazz,UTA,114,False,0.451,0.321,0.742,54,22,14,Sacramento Kings,SAC,130,True,0.461,0.373,0.85,45,29,11,244,16
2023,0022300074,2023-10-25,POR @ LAC,LA Clippers,LAC,123,True,0.522,0.471,0.813,45,36,17,Portland Trail Blazers,POR,111,False,0.473,0.313,0.765,40,20,17,234,12
2023,0022300068,2023-10-25,MIA vs. DET,Miami Heat,MIA,103,True,0.402,0.364,0.808,48,22,7,Detroit Pistons,DET,102,False,0.446,0.344,0.6,56,28,16,205,1
2023,0022300069,2023-10-25,TOR vs. MIN,Toronto Raptors,TOR,97,True,0.4,0.4,0.688,47,27,14,Minnesota Timberwolves,MIN,94,False,0.34,0.258,0.818,62,20,14,191,3
2023,0022300070,2023-10-25,CHI vs. OKC,Chicago Bulls,CHI,104,False,0.415,0.286,0.778,42,26,12,Oklahoma City Thunder,OKC,124,True,0.549,0.487,0.833,43,30,15,228,20
