game_id,date,season,home_team,away_team,home_score,away_score,total_points,home_win,margin
0022200001,2022-10-18,2022-23,BOS,PHI,126,117,243,1,9
0022200002,2022-10-18,2022-23,GSW,LAL,123,109,232,1,14
0022200003,2022-10-19,2022-23,DET,ORL,113,109,222,1,4
0022200005,2022-10-19,2022-23,ATL,HOU,117,107,224,1,10
0022200013,2022-10-19,2022-23,PHX,DAL,107,105,212,1,2
0022200007,2022-10-19,2022-23,MIA,CHI,108,116,224,0,-8
0022200011,2022-10-19,2022-23,SAS,CHA,102,129,231,0,-27
0022200006,2022-10-19,2022-23,BKN,NOP,108,130,238,0,-22
0022200010,2022-10-19,2022-23,MIN,OKC,115,108,223,1,7
0022200004,2022-10-19,2022-23,IND,WAS,107,114,221,0,-7
0022200008,2022-10-19,2022-23,TOR,CLE,108,105,213,1,3
0022200009,2022-10-19,2022-23,MEM,NYK,115,112,227,1,3
0022200014,2022-10-19,2022-23,SAC,POR,108,115,223,0,-7
0022200012,2022-10-19,2022-23,UTA,DEN,123,102,225,1,21
0022200016,2022-10-20,2022-23,LAL,LAC,97,103,200,0,-6
0022200015,2022-10-20,2022-23,PHI,MIL,88,90,178,0,-2
0022200025,2022-10-21,2022-23,MIN,UTA,126,132,258,0,-6
0022200023,2022-10-21,2022-23,NYK,DET,130,106,236,1,24
0022200019,2022-10-21,2022-23,WAS,CHI,102,100,202,1,2
0022200026,2022-10-21,2022-23,GSW,DEN,123,128,251,0,-5
0022200017,2022-10-21,2022-23,CHA,NOP,112,124,236,0,-12
0022200024,2022-10-21,2022-23,HOU,MEM,122,129,251,0,-7
0022200018,2022-10-21,2022-23,IND,SAS,134,137,271,0,-3
0022200022,2022-10-21,2022-23,MIA,BOS,104,111,215,0,-7
0022200020,2022-10-21,2022-23,ATL,ORL,108,98,206,1,10
0022200027,2022-10-21,2022-23,POR,PHX,113,111,224,1,2
0022200021,2022-10-21,2022-23,BKN,TOR,109,105,214,1,4
0022200031,2022-10-22,2022-23,MIA,TOR,112,109,221,1,3
0022200028,2022-10-22,2022-23,PHI,SAS,105,114,219,0,-9
0022200030,2022-10-22,2022-23,ORL,BOS,120,126,246,0,-6
0022200029,2022-10-22,2022-23,IND,DET,124,115,239,1,9
0022200033,2022-10-22,2022-23,MIL,HOU,125,105,230,1,20
0022200036,2022-10-22,2022-23,SAC,LAC,109,111,220,0,-2
0022200032,2022-10-22,2022-23,CHI,CLE,96,128,224,0,-32
0022200035,2022-10-22,2022-23,DEN,OKC,122,117,239,1,5
0022200034,2022-10-22,2022-23,DAL,MEM,137,96,233,1,41
0022200041,2022-10-23,2022-23,OKC,MIN,106,116,222,0,-10
0022200038,2022-10-23,2022-23,ATL,CHA,109,126,235,0,-17
0022200040,2022-10-23,2022-23,NOP,UTA,121,122,243,0,-1
0022200037,2022-10-23,2022-23,LAL,POR,104,106,210,0,-2
0022200042,2022-10-23,2022-23,GSW,SAC,130,125,255,1,5
0022200043,2022-10-23,2022-23,LAC,PHX,95,112,207,0,-17
0022200039,2022-10-23,2022-23,CLE,WAS,117,107,224,1,10
0022200050,2022-10-24,2022-23,MIN,SAS,106,115,221,0,-9
0022200044,2022-10-24,2022-23,PHI,IND,120,106,226,1,14
0022200049,2022-10-24,2022-23,MEM,BKN,134,124,258,1,10
0022200051,2022-10-24,2022-23,POR,DEN,135,110,245,1,25
0022200046,2022-10-24,2022-23,NYK,ORL,115,102,217,1,13
0022200045,2022-10-24,2022-23,MIA,TOR,90,98,188,0,-8
0022200048,2022-10-24,2022-23,HOU,UTA,114,108,222,1,6
0022200047,2022-10-24,2022-23,CHI,BOS,120,102,222,1,18
0022200053,2022-10-25,2022-23,NOP,DAL,113,111,224,1,2
0022200052,2022-10-25,2022-23,WAS,DET,120,99,219,1,21
0022200055,2022-10-25,2022-23,PHX,GSW,134,105,239,1,29
0022200054,2022-10-25,2022-23,OKC,LAC,108,94,202,1,14
0022200062,2022-10-26,2022-23,MIN,SAS,134,122,256,1,12
0022200060,2022-10-26,2022-23,MIL,BKN,110,99,209,1,11
0022200056,2022-10-26,2022-23,CLE,ORL,103,92,195,1,11
0022200059,2022-10-26,2022-23,TOR,PHI,119,109,228,1,10
0022200058,2022-10-26,2022-23,NYK,CHA,134,131,265,1,3
0022200057,2022-10-26,2022-23,DET,ATL,113,118,231,0,-5
0022200065,2022-10-26,2022-23,POR,MIA,98,119,217,0,-21
0022200063,2022-10-26,2022-23,UTA,HOU,109,101,210,1,8
0022200064,2022-10-26,2022-23,DEN,LAL,110,99,209,1,11
